此开卷第一回也．作者自云：因曾历过一番梦幻之后，故将真事隐去，而借"通灵"之说，撰此《石头记》一书也．故曰"甄士隐"云云．但书中所记何事何人？自又云：  |||  作者
便爬着吃了一碗，渐渐的神气果然好过来了，便要坐起来．麝月上去轻轻的扶起，因心里喜欢，忘了情说道：  |||  麝月
话说宝玉一听麝月的话，身往后仰，复又死去，急得王夫人等哭叫不止．麝月自知失言致祸，此时王夫人等也不及说他．那麝月一面哭着，一面打定主意，心想：  |||  麝月
那知那宝玉的魂魄早已出了窍了．你道死了不成？却原来恍恍惚惚赶到前厅，见那送玉的和尚坐着，便施了礼．那知和尚站起身来，拉着宝玉就走．宝玉跟了和尚，觉得身轻如叶，飘飘摇摇，也没出大门，不知从那里走了出来．行了一程，到了个荒野地方，远远的望见一座牌楼，好象曾到过的．正要问那和尚时，只见恍恍惚惚来了一个女人．宝玉心里想道：  |||  宝玉
宝玉想着，走近前来细细一看，竟有些认得的，只是一时想不起来．见那女人和和尚打了一个照面就不见了．宝玉一想，竟是尤三姐的样子，越发纳闷：  |||  宝玉
前因后果，须知亲近不相逢．宝玉看了，心下想道：  |||  宝玉
赶着要和鸳鸯说话，岂知一转眼便不见了，心里不免疑惑起来．走到鸳鸯站的地方儿，乃是一溜配殿，各处都有匾额．宝玉无心去看，只向鸳鸯立的所在奔去．见那一间配殿的门半掩半开，宝玉也不敢造次进去，心里正要问那和尚一声，回过头来，和尚早已不见了．宝玉恍惚，见那殿宇巍峨，绝非大观园景象．便立住脚，抬头看那匾额上写道：  |||  宝玉
宝玉忽然想起：  |||  宝玉
恍惚间，把找鸳鸯的念头忘了．便壮着胆把上首的大橱开了橱门一瞧，见有好几本册子，心里更觉喜欢，想道：  |||  鸳鸯
伸手在上头取了一本，册上写着"金陵十二钗正册"．宝玉拿着一想道：  |||  宝玉
便打开头一页看去，见上头有画，但是画迹模糊，再瞧不出来．后面有几行字迹也不清楚，尚可摹拟，便细细的看去，见有什么"玉带"，上头有个好象"林"字，心里想道：  |||  林
便认真看去，底下又有"金簪雪里"四字，诧异道"怎么又象他的名字呢．"复将前后四句合起来一念道：  |||  金簪
想到那里，又自啐道：  |||  想到
遂往后看去，也无暇细玩那图画，只从头看去．看到尾儿有几句词，什么"相逢大梦归"一句，便恍然大悟道：  |||  遂往后看去，也无暇细玩那图画，只从头看去．看到尾儿有
待要往后再看，听见有人说道：  |||  人
  |||  empty
那鸳鸯并不理，只顾前走．宝玉无奈，尽力赶去，忽见别有一洞天，楼阁高耸，殿角玲珑，且有好些宫女隐约其间．宝玉贪看景致，竟将鸳鸯忘了．宝玉顺步走入一座宫门，内有奇花异卉，都也认不明白．惟有白石花阑围着一颗青草，叶头上略有红色，但不知是何名草，这样矜贵．只见微风动处，那青草已摇摆不休，虽说是一枝小草，又无花朵，其妩媚之态，不禁心动神怡，魂消魄丧．宝玉只管呆呆的看着，只听见旁边有一人说道：  |||  有一人
宝玉听了，吃了一惊，回头看时，却是一位仙女，便施礼道：  |||  宝玉
那人道：  |||  那人
宝玉欲待要出来，又舍不得，只得央告道：  |||  宝玉
那仙女道：  |||  仙女
宝玉听了不解，一心疑定必是遇见了花神了，今日断不可当面错过，便问：  |||  宝玉
那仙女道：  |||  仙女
宝玉便问道：  |||  宝玉
那仙女道：  |||  仙女
宝玉听道：  |||  宝玉
那仙女道：  |||  仙女
宝玉听了发怔，只觉自形秽浊，正要退出，又听见有人赶来说道：  |||  有人
那人道：  |||  那人
那一个笑道：  |||  一个
那侍女慌忙赶出来说：  |||  侍女
宝玉只道是问别人，又怕被人追赶，只得踉跄而逃．正走时，只见一人手提宝剑迎面拦住说：  |||  一人
唬得宝玉惊慌无措，仗着胆抬头一看却不是别人，就是尤三姐．宝玉见了，略定些神，央告道：  |||  宝玉
那人道：  |||  那人
宝玉听去话头不好，正自着急，只听后面有人叫道：  |||  有人
尤三姐道：  |||  尤三姐
宝玉听了益发着忙，又不懂这些话到底是什么意思，只得回头要跑．岂知身后说话的并非别人，却是晴雯．宝玉一见，悲喜交集，便说：  |||  宝玉
晴雯道：  |||  晴雯
宝玉满腹狐疑，只得问道：  |||  宝玉
晴雯道：  |||  晴雯
宝玉没法，只得跟着走．细看那人背后举动恰是晴雯，那面目声音是不错的了，"怎么他说不是？我此时心里模糊．且别管他，到了那边见了妃子，就有不是，那时再求他，到底女人的心肠是慈悲的，必是恕我冒失．"正想着，不多时到了一个所在．只见殿宇精致，色彩辉煌，庭中一丛翠竹，户外数本苍松．廊檐下立着几个侍女，都是宫妆打扮，见了宝玉进来，便悄悄的说道：  |||  几个侍女
引着宝玉的说道：  |||  宝玉的说道：
有一侍女笑着招手，宝玉便跟着进去．过了几层房舍，见一正房，珠帘高挂．那侍女说：  |||  侍女
宝玉听了，也不敢则声，只得在外等着．那侍女进去不多时，出来说：  |||  侍女
又有一人卷起珠帘．只见一女子，头戴花冠，身穿绣服，端坐在内．宝玉略一抬头，见是黛玉的形容，便不禁的说道：  |||  宝玉
那帘外的侍女悄咤道：  |||  帘外的侍女
说犹未了，又见一个侍儿将珠帘放下．宝玉此时欲待进去又不敢，要走又不舍，待要问明，见那些侍女并不认得，又被驱逐，无奈出来．心想要问晴雯，回头四顾，并不见有晴雯．心下狐疑，只得怏怏出来，又无人引着，正欲找原路而去，却又找不出旧路了．正在为难，见凤姐站在一所房檐下招手．宝玉看见喜欢道：  |||  宝玉
急奔前来说：  |||  急奔前来说：
说着，走到凤姐站的地方，细看起来并不是凤姐，原来却是贾蓉的前妻秦氏．宝玉只得立住脚要问"凤姐姐在那里"，那秦氏也不答言，竟自往屋里去了．宝玉恍恍惚惚的又不敢跟进去，只得呆呆的站着，叹道：  |||  宝玉
便痛哭起来．见有几个黄巾力士执鞭赶来，说是"何处男人敢闯入我们这天仙福地来，快走出去！"宝玉听得，不敢言语．正要寻路出来，远远望见一群女子说笑前来．宝玉看时，又象有迎春等一干人走来，心里喜欢，叫道：  |||  宝玉
宝玉正在情急，只见那送玉来的和尚手里拿着一面镜子一照，说道：  |||  宝玉
登时鬼怪全无仍是一片荒郊．宝玉拉着和尚说道：  |||  宝玉
那和尚道：  |||  和尚
宝玉一想道：  |||  宝玉
便道：  |||  道：
那和尚道：  |||  和尚
说着，把宝玉狠命的一推，说：  |||  宝玉
宝玉站不住脚，一交跌倒，口里嚷道：  |||  宝玉
王夫人等正在哭泣，听见宝玉苏来，连忙叫唤．宝玉睁眼看时，仍躺在炕上，见王夫人宝钗等哭的眼泡红肿．定神一想，心里说道：  |||  定神
遂把神魂所历的事呆呆的细想，幸喜多还记得，便哈哈的笑道：  |||  哈哈的笑道：
王夫人只道旧病复发，便好延医调治，即命丫头婆子快去告诉贾政，说是"宝玉回过来了，头里原是心迷住了，如今说出话来，不用备办后事了。”贾政听了，即忙进来看视，果见宝玉苏来，便道：  |||  贾政
说着，眼泪也不知不觉流下来了．又叹了几口气，仍出去叫人请医生诊脉服药．这里麝月正思自尽，见宝玉一过来，也放了心．只见王夫人叫人端了桂圆汤叫他喝了几口，渐渐的定了神．王夫人等放心，也没有说麝月，只叫人仍把那玉交给宝钗给他带上，"想起那和尚来，这玉不知那里找来的，也是古怪．怎么一时要银一时又不见了，莫非是神仙不成？"宝钗道：  |||  宝钗
王夫人道：  |||  王夫人
宝钗道：  |||  宝钗
袭人麝月道：  |||  袭人麝月
宝钗想道：  |||  宝钗
王夫人道：  |||  王夫人
说到这里忽然住了，不免又流下泪来．宝玉听了，心里却也明白，更想死去的事愈加有因，只不言语，心里细细的记忆．那时惜春便说道：  |||  惜春
宝玉听了，又冷笑几声．宝钗听了，不觉的把眉头儿ケ揪着发起怔来．尤氏道：  |||  尤氏
惜春笑道：  |||  惜春
王夫人道：  |||  王夫人
且说众人见宝玉死去复生，神气清爽，又加连日服药，一天好似一天，渐渐的复原起来．便是贾政见宝玉已好，现在丁忧无事，想起贾赦不知几时遇赦，老太太的灵柩久停寺内，终不放心，欲要扶柩回南安葬，便叫了贾琏来商议．贾琏便道：  |||  贾琏
贾政道：  |||  贾政
贾琏道：  |||  贾琏
贾政道：  |||  贾政
贾琏道：  |||  贾琏
贾政道：  |||  贾政
贾琏道：  |||  贾琏
贾政道：  |||  贾政
宝玉因贾政命他赴考，王夫人便不时催逼查考起他的工课来．那宝钗袭人时常劝勉，自不必说．那知宝玉病后虽精神日长，他的念头一发更奇僻了，竟换了一种．不但厌弃功名仕进，竟把那儿女情缘也看淡了好些．只是众人不大理会，宝玉也并不说出来．一日，恰遇紫鹃送了林黛玉的灵柩回来，闷坐自己屋里啼哭，想道：  |||  紫鹃
正想着，只见五儿走来瞧他，见紫鹃满面泪痕，便说：  |||  五儿
紫鹃听他说的好笑，便噗嗤的一笑，啐道：  |||  紫鹃
因又笑着拿个指头往脸上抹着问道：  |||  问道：
那五儿听了，自知失言，便飞红了脸．待要解说不是要宝玉怎么看待，说他近来不怜下的话，只听院门外乱嚷说：  |||  五儿
话说王夫人打发人来叫宝钗过去商量，宝玉听见说是和尚在外头，赶忙的独自一人走到前头，嘴里乱嚷道：  |||  宝玉
叫了半天，并不见有和尚，只得走到外面．见李贵将和尚拦住，不放他进来．宝玉便说道：  |||  宝玉
李贵听了松了手，那和尚便摇摇摆摆的进去．宝玉看见那僧的形状与他死去时所见的一般，心里早有些明白了，便上前施礼，连叫：  |||  宝玉
那僧说：  |||  那僧
宝玉听来又不象有道行的话，看他满头癞疮，混身腌か破烂，心里想道：  |||  宝玉
便说道：  |||  便说道：
那和尚道：  |||  和尚
宝玉一时对答不来．那僧笑道：  |||  那僧
宝玉本来颖悟，又经点化，早把红尘看破，只是自己的底里未知，一闻那僧问起玉来，好象当头一棒，便说道：  |||  宝玉
那僧笑道：  |||  那僧
宝玉也不答言，往里就跑，走到自己院内，见宝钗袭人等都到王夫人那里去了，忙向自己床边取了那玉便走出来．迎面碰见了袭人，撞了一个满怀，把袭人唬了一跳，说道：  |||  袭人
宝玉道：  |||  宝玉
袭人听说，即忙拉住宝玉道：  |||  袭人
宝玉道：  |||  宝玉
摔脱袭人，便要想走．袭人急得赶着嚷道：  |||  袭人
宝玉回过头来道：  |||  宝玉
袭人顾不得什么，一面赶着跑，一面嚷道：  |||  袭人
说着，赶上一把拉住．宝玉急了道：  |||  宝玉
狠命的把袭人一推，抽身要走．怎奈袭人两只手绕着宝玉的带子不放松，哭喊着坐在地下．里面的丫头听见连忙赶来，瞧见他两个人的神情不好，只听见袭人哭道：  |||  袭人
丫头赶忙飞报王夫人．那宝玉更加生气，用手来掰开了袭人的手，幸亏袭人忍痛不放．紫鹃在屋里听见宝玉要把玉给人，这一急比别人更甚，把素日冷淡宝玉的主意都忘在九霄云外了，连忙跑出来帮着抱住宝玉．那宝玉虽是个男人，用力摔打，怎奈两个人死命的抱住不放，也难脱身，叹口气道：  |||  人
袭人紫鹃听到那里，不禁嚎啕大哭起来．正在难分难解，王夫人宝钗急忙赶来，见是这样形景，便哭着喝道：  |||  王夫人宝钗
宝玉见王夫人来了，明知不能脱身，只得陪笑说道：  |||  宝玉
王夫人道：我打谅真要还他，这也罢了．为什么不告诉明白了他们，叫他们哭哭喊喊的象什么．道：  |||  王夫人
王夫人听了道：  |||  王夫人
宝玉也不回答．只见宝钗走上来在宝玉手里拿了这玉，说道：  |||  宝钗
宝玉道：  |||  宝玉
袭人等仍不肯放手，到底宝钗明决，说：  |||  袭人等
袭人只得放手．宝玉笑道：  |||  宝玉
王夫人宝钗等进来坐下，问起袭人来由，袭人便将宝玉的话细细说了．王夫人宝钗甚是不放心，又叫人出去吩咐众人伺候，听着和尚说些什么．回来小丫头传话进来回王夫人道：  |||  回来小丫头
王夫人听了说道：  |||  王夫人
小丫头回道：  |||  小丫头
宝钗道：  |||  宝钗
小丫头道：  |||  小丫头
王夫人道：  |||  王夫人
便叫小丫头：  |||  小丫头
小丫头连忙出去叫进那小厮，站在廊下，隔着窗户请了安．王夫人便问道：  |||  王夫人
那小厮回道：  |||  小厮
王夫人听了也不懂．宝钗听了，唬得两眼直瞪，半句话都没有了．正要叫人出去拉宝玉进来，只见宝玉笑嘻嘻的进来说：  |||  宝玉
宝钗仍是发怔．王夫人道：  |||  王夫人
宝玉道：  |||  宝玉
王夫人不信，又隔着窗户问那小厮．那小厮连忙出去问了门上的人，进来回说：  |||  小厮
王夫人道：  |||  王夫人
门上道：  |||  门上
王夫人问宝玉道：  |||  王夫人
宝玉笑道：  |||  宝玉
宝钗不待说完，便道：  |||  宝钗
宝玉道：  |||  宝玉
王夫人听到那里，不觉伤心起来，说：  |||  王夫人
说着，大哭起来．宝钗见王夫人伤心，只得上前苦劝．宝玉笑道：  |||  宝玉
王夫人止住哭声道：  |||  王夫人
正闹着，只见丫头来回话：  |||  丫头
王夫人又吃了一惊，说道：  |||  王夫人
贾琏进来，见了王夫人请了安．宝钗迎着也问了贾琏的安．回说道：  |||  宝钗
说到那里，眼泪便掉下来了．王夫人道：  |||  王夫人
贾琏道：  |||  贾琏
说着眼圈儿一红，连忙把腰里拴槟榔荷包的小绢子拉下来擦眼．王夫人道：  |||  王夫人
贾琏轻轻的说道：  |||  贾琏
说着，就跪下来了．王夫人也眼圈儿红了，说：  |||  王夫人
贾琏道：  |||  贾琏
王夫人道：  |||  王夫人
贾琏答应了"是"，正要走出去，复转回来回说道：  |||  贾琏
王夫人道：  |||  王夫人
贾琏道：  |||  贾琏
王夫人听了点头道：  |||  王夫人
且说贾芸贾蔷送了贾琏，便进来见了邢王二夫人．他两个倒替着在外书房住下，日间便与家人厮闹，有时找了几个朋友吃个车箍辘会，甚至聚赌，里头那里知道．一日邢大舅王仁来，瞧见了贾芸贾蔷住在这里，知他热闹，也就借着照看的名儿时常在外书房设局赌钱喝酒．所有几个正经的家人，贾政带了几个去，贾琏又跟去了几个，只有那赖林诸家的儿子侄儿．那些少年托着老子娘的福吃喝惯了的，那知当家立计的道理．况且他们长辈都不在家，便是没笼头的马了，又有两个旁主人怂恿，无不乐为．这一闹，把个荣国府闹得没上没下，没里没外．那贾蔷还想勾引宝玉，贾芸拦住道：  |||  贾蔷
说到这里，瞧了瞧左右无人，又说：  |||  人
一日邢大舅王仁都在贾家外书房喝酒，一时高兴，叫了几个陪酒的来唱着喝着劝酒．贾蔷便说：  |||  贾蔷
众人道：  |||  众人
贾蔷道：  |||  贾蔷
众人都依了．贾蔷喝了一杯令酒，便说：  |||  贾蔷
顺饮数到贾环．贾蔷说：  |||  贾蔷
贾环便说道"`冷露无声湿桂花-．酒底呢？"贾蔷道：  |||  贾蔷
贾环道：  |||  贾环
大舅说道：  |||  大舅
众人都道：  |||  众人
于是乱コ起来．王仁输了，喝了一杯，唱了一个．众人道好，又コ起来了．是个陪酒的输了，唱了一个什么"小姐小姐多丰彩"．以后邢大舅输了，众人要他唱曲儿，他道：  |||  众人
贾蔷道：  |||  贾蔷
邢大舅就喝了杯，便说道：  |||  邢大舅
众人听了大笑起来．贾蔷也忍不住的笑，说道：  |||  贾蔷
邢大舅喝了，已有醉意．众人又喝了几杯，都醉起来．邢大舅说他姐姐不好，王仁说他妹妹不好，都说的狠狠毒毒的．贾环听了，趁着酒兴也说凤姐不好，怎样苛刻我们，怎么样踏我们的头．众人道：  |||  众人
贾芸想着凤姐待他不好，又想起巧姐儿见他就哭，也信着嘴儿混说．还是贾蔷道：  |||  贾蔷
那两个陪酒的道：  |||  两个
贾蔷道：  |||  贾蔷
那陪酒的说道：  |||  陪酒
众人道：  |||  众人
那陪酒的说：  |||  那
只见外头走进赖林两家的子弟来，说：  |||  赖林两家的子弟
众人站起来说道：  |||  众人
那两个人说道：  |||  两个人
众人道：  |||  众人
那两个说道：  |||  两个
贾芸道：  |||  贾芸
两人让了一回，便坐下，喝着酒道：  |||  两人
众人道：  |||  众人
赖家的说道：  |||  赖家的
众人道：  |||  众人
赖家的点点头儿，便举起杯来喝酒．众人又道：  |||  众人
两人道：  |||  两人
众人道：  |||  众人
两人道：  |||  两人
众人道：  |||  众人
贾环道：  |||  贾环
众人道：  |||  众人
贾环道：  |||  贾环
众人道：  |||  众人
邢大舅道：  |||  邢大舅
赌到三更多天，只听见里头乱嚷，说是四姑娘合珍大奶奶拌嘴，把头发都绞掉了，赶到邢夫人王夫人那里去磕了头，说是要求容他做尼姑呢，送他一个地方，若不容他他就死在眼前．那邢王两位太太没主意，叫请蔷大爷芸二爷进去．贾芸听了，便知是那回看家的时候起的念头，想来是劝不过来的了，便合贾蔷商议道：  |||  贾芸
两人商量定了主意，进去见了邢王两位太太，便假意的劝了一回．无奈惜春立意必要出家，就不放他出去，只求一两间净屋子给他诵经拜佛．尤氏见他两个不肯作主，又怕惜春寻死，自己便硬做主张，说是：  |||  尤氏
说话邢王二夫人听尤氏一段话，明知也难挽回．王夫人只得说道：  |||  王夫人
惜春听了，收了泪，拜谢了邢王二夫人，李纨，尤氏等．王夫人说了，便问彩屏等谁愿跟姑娘修行．彩屏等回道：  |||  彩屏
王夫人知道不愿意，正在想人．袭人立在宝玉身后，想来宝玉必要大哭，防着他的旧病．岂知宝玉叹道：  |||  袭人
袭人心里更自伤悲．宝钗虽不言语，遇事试探，见是执迷不醒，只得暗中落泪．王夫人才要叫了众丫头来问．忽见紫鹃走上前去，在王夫人面前跪下，回道：  |||  王夫人
王夫人道：  |||  王夫人
紫鹃道：  |||  紫鹃
邢王二夫人尚未答言，只见宝玉听到那里，想起黛玉一阵心酸，眼泪早下来了．众人才要问他时，他又哈哈的大笑，走上来道：  |||  众人
王夫人道：  |||  王夫人
宝玉道：  |||  宝玉
惜春道：  |||  惜春
宝玉道：  |||  宝玉
众人道：  |||  众人
宝玉道：  |||  宝玉
众人道：  |||  众人
可怜绣户侯门女，独卧青灯古佛旁！李纨宝钗听了，诧异道：  |||  李纨宝钗
王夫人听了这话，点头叹息，便问宝玉：  |||  王夫人
宝玉不便说出来，回道：  |||  宝玉
王夫人回过味来，细细一想，便更哭起来道：  |||  王夫人
宝钗一面劝着，这个心比刀绞更甚，也掌不住便放声大哭起来．袭人已经哭的死去活来，幸亏秋纹扶着．宝玉也不啼哭，也不相劝，只不言语．贾兰贾环听到那里，各自走开．李纨竭力的解说：  |||  李纨
王夫人道：  |||  王夫人
紫鹃听了磕头．惜春又谢了王夫人．紫鹃又给宝玉宝钗磕了头．宝玉念声"阿弥陀佛！难得，难得．不料你倒先好了！"宝钗虽然有把持，也难掌住．只有袭人，也顾不得王夫人在上，便痛哭不止，说：  |||  王夫人
宝玉笑道：  |||  宝玉
袭人哭道：  |||  袭人
那贾芸听见贾蔷的假话，心里便没想头，连日在外又输了好些银钱，无所抵偿，便和贾环相商．贾环本是一个钱没有的，虽是赵姨娘积蓄些微，早被他弄光了，那能照应人家．便想起凤姐待他刻薄，要趁贾琏不在家要摆布巧姐出气，遂把这个当叫贾芸来上，故意的埋怨贾芸道：  |||  贾芸
贾芸道：  |||  贾芸
贾环道：  |||  贾环
贾芸道：  |||  贾芸
贾环在贾芸耳边说了些话，贾芸虽然点头，只道贾环是小孩子的话，也不当事．恰好王仁走来说道：  |||  王仁
贾芸便将贾环的话附耳低言的说了．王仁拍手道：  |||  王仁
王夫人听了虽然入耳，只是不信．邢夫人听得邢大舅知道，心里愿意，便打发人找了邢大舅来问他．那邢大舅已经听了王仁的话，又可分肥，便在邢夫人跟前说道：  |||  邢大舅
平儿心下留神打听．那些丫头婆子都是平儿使过的，平儿一问，所有听见外头的风声都告诉了．平儿便吓的没了主意，虽不和巧姐说，便赶着去告诉了李纨宝钗，求他二人告诉王夫人．王夫人知道这事不好，便和邢夫人说知．怎奈邢夫人信了兄弟并王仁的话，反疑心王夫人不是好意，便说：  |||  王夫人．王夫人知道这事不好，便和邢夫人
王夫人听了这些话，心下暗暗生气，勉强说些闲话，便走了出来，告诉了宝钗，自己落泪．宝玉劝道：  |||  宝玉
王夫人道：  |||  王夫人
正说着，平儿过来瞧宝钗，并探听邢夫人的口气．王夫人将邢夫人的话说了一遍．平儿呆了半天，跪下求道：  |||  平儿
王夫人道：  |||  王夫人
宝玉劝道：  |||  宝玉
这里王夫人想到烦闷，一阵心痛，叫丫头扶着勉强回到自己房中躺下，不叫宝玉宝钗过来，说睡睡就好的．自己却也烦闷，听见说李婶娘来了也不及接待．只见贾兰进来请了安，回道：  |||  贾兰
说着，一面把书子呈上．王夫人一面接书，一面问道：  |||  王夫人
贾兰道：  |||  贾兰
近因沿途俱系海疆凯旋船只，不能迅速前行．闻探姐随翁婿来都，不知曾有信否？前接到琏侄手禀，知大老爷身体欠安，亦不知已有确信否？宝玉兰哥场期已近，务须实心用功，不可怠惰．老太太灵柩抵家，尚需日时．我身体平善，不必挂念．此谕宝玉等知道．月日手书．蓉儿另禀．王夫人看了，仍旧递给贾兰，说：  |||  王夫人
正说着，李纨同李婶过来．请安问好毕，王夫人让了坐．李婶娘便将甄家要娶李绮的话说了一遍．大家商议了一会子．李纨因问王夫人道：  |||  李纨
王夫人道：  |||  王夫人
贾兰便拿着给他母亲瞧．李纨看了道：  |||  李纨
王夫人道：  |||  王夫人
李婶娘便问了贾政在路好．李纨因向贾兰道：  |||  李纨
李婶娘道：  |||  李婶娘
王夫人道：  |||  王夫人
却说宝玉送了王夫人去后，正拿着《秋水》一篇在那里细玩．宝钗从里间走出，见他看的得意忘言，便走过来一看，见是这个，心里着实烦闷．细想他只顾把这些出世离群的话当作一件正经事，终久不妥．看他这种光景，料劝不过来，便坐在宝玉旁边怔怔的坐着．宝玉见他这般，便道：  |||  宝玉
宝钗道：  |||  宝钗
宝玉也没听完，把那书本搁在旁边，微微的笑道：  |||  宝玉
宝钗道：  |||  宝钗
宝玉点头笑道：  |||  宝玉
宝钗不等他说完，便道：  |||  宝钗
宝玉听了也不答言，只有仰头微笑．宝钗因又劝道：  |||  宝钗
宝玉点了点头，叹了口气说道：  |||  宝玉
宝钗未及答言，袭人过来说道：  |||  袭人
袭人还要说时，只听外面脚步走响，隔着窗户问道：  |||  袭人
宝玉听了，是贾兰的声音，便站起来笑道：  |||  宝玉
宝钗也站起来．贾兰进来笑容可掬的给宝玉宝钗请了安，问了袭人的好，——袭人也问了好——便把书子呈给宝玉瞧．宝玉接在手中看了，便道：  |||  宝玉
贾兰道：  |||  贾兰
宝玉点头不语，默默如有所思．贾兰便问：  |||  贾兰
宝玉笑道：  |||  宝玉
贾兰道：  |||  贾兰
宝玉道：  |||  宝玉
说着，宝钗命贾兰坐下．宝玉仍坐在原处，贾兰侧身坐了．两个谈了一回文，不觉喜动颜色．宝钗见他爷儿两个谈得高兴，便仍进屋里去了．心中细想宝玉此时光景，或者醒悟过来了，只是刚才说话，他把那"从此而止"四字单单的许可，这又不知是什么意思了．宝钗尚自犹豫，惟有袭人看他爱讲文章，提到下场，更又欣然．心里想道：  |||  宝钗
那宝玉拿着书子，笑嘻嘻走进来递给麝月收了，便出来将那本《庄子》收了，把几部向来最得意的，如《参同契》《元命苞》《五灯会元》之类，叫出麝月秋纹莺儿等都搬了搁在一边．宝钗见他这番举动，甚为罕异，因欲试探他，便笑问道：  |||  宝钗
宝玉道：  |||  宝玉
宝钗听了更欣喜异常．只听宝玉口中微吟道：  |||  宝玉
那袭人此时真是闻所未闻，见所未见，便悄悄的笑着向宝钗道：  |||  袭人
宝钗点头微笑道：  |||  宝钗
说到这里，见房里无人，便悄说道：  |||  人
袭人道：  |||  袭人
宝钗道：  |||  宝钗
那宝玉却也不出房门，天天只差人去给王夫人请安．王夫人听见他这番光景，那一种欣慰之情，更不待言了．到了八月初三，这一日正是贾母的冥寿．宝玉早晨过来磕了头，便回去，仍到静室中去了．饭后，宝钗袭人等都和姊妹们跟着邢王二夫人在前面屋里说闲话儿．宝玉自在静室冥心危坐，忽见莺儿端了一盘瓜果进来说：  |||  莺儿
宝玉站起来答应了，复又坐下，便道：  |||  宝玉
莺儿一面放下瓜果一面悄悄向宝玉道：  |||  莺儿
宝玉微笑．莺儿又道：  |||  莺儿
宝玉也只点头微笑．莺儿忽然想起那年给宝玉打络子的时候宝玉说的话来，便道：  |||  莺儿
宝玉听到这里，又觉尘心一动，连忙敛神定息，微微的笑道：  |||  宝玉
莺儿把脸飞红了，勉强道：  |||  莺儿
宝玉笑道：  |||  宝玉
莺儿听见这话似乎又是疯话了，恐怕自己招出宝玉的病根来，打算着要走．只见宝玉笑着说道：  |||  宝玉
话说莺儿见宝玉说话摸不着头脑，正自要走，只听宝玉又说道：  |||  宝玉
莺儿听了前头象话，后头说的又有些不象了，便道：  |||  莺儿
次日宝玉贾兰换了半新不旧的衣服，欣然过来见了王夫人．王夫人嘱咐道：  |||  王夫人
王夫人说着不免伤心起来．贾兰听一句答应一句．只见宝玉一声不哼，待王夫人说完了，走过来给王夫人跪下，满眼流泪，磕了三个头，说道：  |||  贾兰
王夫人听了，更觉伤心起来，便道：  |||  王夫人
一面说，一面拉他起来．那宝玉只管跪着不肯起来，便说道：  |||  宝玉
李纨见王夫人和他如此，一则怕勾起宝玉的病来，二则也觉得光景不大吉祥，连忙过来说道：  |||  李纨
一面叫人搀起宝玉来．宝玉却转过身来给李纨作了个揖，说：  |||  宝玉
李纨笑道：  |||  李纨
说到这里，恐怕又惹起王夫人的伤心来，连忙咽住了．宝玉笑道：  |||  宝玉
李纨见天气不早了，也不肯尽着和他说话，只好点点头儿．此时宝钗听得早已呆了，这些话不但宝玉，便是王夫人李纨所说，句句都是不祥之兆，却又不敢认真，只得忍泪无言．宝玉走到跟前，深深的作了一个揖．众人见他行事古怪，也摸不着是怎么样，又不敢笑他．只见宝钗的眼泪直流下来．众人更是纳罕．又听宝玉说道：  |||  宝玉
宝钗道：  |||  宝钗
宝玉道：  |||  宝玉
回头见众人都在这里，只没惜春紫鹃，便说道：  |||  惜春
众人见他的话又象有理，又象疯话．大家只说他从没出过门，都是太太的一套话招出来的，不如早早催他去了就完了事了，便说道：  |||  众人
宝玉仰面大笑道：  |||  宝玉
众人也都笑道：  |||  众人
不言宝玉贾兰出门赴考．且说贾环见他们考去，自己又气又恨，便自大为王说：  |||  贾环
想定了主意，跑到邢夫人那边请了安，说了些奉承的话．那邢夫人自然喜欢，便说道：  |||  邢夫人
贾环道：  |||  贾环
邢夫人道：  |||  邢夫人
贾环道：  |||  贾环
邢夫人道：  |||  邢夫人
贾环道：  |||  贾环
邢夫人道：  |||  邢夫人
那知刚才所说的话，早被跟邢夫人的丫头听见．那丫头是求了平儿才挑上的，便抽空儿赶到平儿那里，一五一十的都告诉了．平儿早知此事不好，已和巧姐细细的说明．巧姐哭了一夜，必要等他父亲回来作主，大太太的话不能遵．今儿又听见这话，便大哭起来，要和太太讲去．平儿急忙拦住道：  |||  平儿
邢夫人那边的丫头道：  |||  邢夫人那边的丫头
说着，各自去了．平儿回过头来见巧姐哭作一团，连忙扶着道：  |||  平儿
这句话还没说完，只见邢夫人那边打发人来告诉：  |||  邢夫人
回来又见王夫人过来，巧姐儿一把抱住，哭得倒在怀里．王夫人也哭道：  |||  王夫人
平儿道：  |||  平儿
王夫人听说是"三爷"，便气得说不出话来，呆了半天一叠声叫人找贾环．找了半日，人回：  |||  人
王夫人问：  |||  王夫人
有个婆子进来，回说：  |||  婆子
王夫人道：  |||  王夫人
平儿道：  |||  平儿
王夫人不言语，那婆子便带了刘姥姥进来．各人见了问好．刘姥姥见众人的眼圈儿都是红的，也摸不着头脑，迟了一会子，便问道：  |||  刘姥姥
巧姐儿听见提起他母亲，越发大哭起来．平儿道：  |||  平儿
便一五一十的告诉了．把个刘姥姥也唬怔了，等了半天，忽然笑道：  |||  刘姥姥
平儿赶忙问道：  |||  平儿
刘姥姥道：  |||  刘姥姥
平儿道：  |||  平儿
刘姥姥道：  |||  刘姥姥
平儿道：  |||  平儿
刘姥姥道：  |||  刘姥姥
